frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
41.76,-1.57,-1.21,-1.57,-1.21,1.21,-0.36,-0.36,-0.36
42.18,-1.52,-1.17,-1.52,-1.17,1.17,-0.36,-0.36,-0.36
42.60,-1.48,-1.12,-1.48,-1.12,1.12,-0.36,-0.36,-0.36
43.03,-1.43,-1.08,-1.43,-1.08,1.08,-0.36,-0.36,-0.36
43.46,-1.39,-1.03,-1.39,-1.03,1.03,-0.36,-0.36,-0.36
43.90,-1.34,-0.99,-1.34,-0.99,0.99,-0.36,-0.36,-0.36
44.33,-1.30,-0.95,-1.30,-0.95,0.95,-0.36,-0.36,-0.36
44.78,-1.26,-0.91,-1.26,-0.91,0.91,-0.36,-0.36,-0.36
45.23,-1.23,-0.87,-1.23,-0.87,0.87,-0.36,-0.36,-0.36
45.68,-1.19,-0.84,-1.19,-0.84,0.84,-0.36,-0.36,-0.36
46.13,-1.17,-0.81,-1.17,-0.81,0.81,-0.36,-0.36,-0.36
46.60,-1.14,-0.79,-1.14,-0.79,0.79,-0.36,-0.36,-0.36
47.06,-1.12,-0.77,-1.12,-0.77,0.77,-0.36,-0.36,-0.36
47.53,-1.11,-0.75,-1.11,-0.75,0.75,-0.36,-0.36,-0.36
48.01,-1.10,-0.74,-1.10,-0.74,0.74,-0.36,-0.36,-0.36
48.49,-1.08,-0.73,-1.08,-0.73,0.73,-0.36,-0.36,-0.36
48.97,-1.07,-0.72,-1.07,-0.72,0.72,-0.36,-0.36,-0.36
49.46,-1.06,-0.71,-1.06,-0.71,0.71,-0.36,-0.36,-0.36
49.96,-1.05,-0.69,-1.05,-0.69,0.69,-0.36,-0.36,-0.36
50.46,-1.03,-0.68,-1.03,-0.68,0.68,-0.36,-0.36,-0.36
50.96,-1.01,-0.66,-1.01,-0.66,0.66,-0.36,-0.36,-0.36
51.47,-0.99,-0.63,-0.99,-0.63,0.63,-0.36,-0.36,-0.36
51.99,-0.96,-0.61,-0.96,-0.61,0.61,-0.36,-0.36,-0.36
52.51,-0.93,-0.57,-0.93,-0.57,0.57,-0.36,-0.36,-0.36
53.03,-0.89,-0.54,-0.89,-0.54,0.54,-0.36,-0.36,-0.36
53.56,-0.86,-0.50,-0.86,-0.50,0.50,-0.36,-0.36,-0.36
54.10,-0.82,-0.46,-0.82,-0.46,0.46,-0.36,-0.36,-0.36
54.64,-0.79,-0.43,-0.79,-0.43,0.43,-0.36,-0.36,-0.36
55.18,-0.75,-0.40,-0.75,-0.40,0.40,-0.36,-0.36,-0.36
55.74,-0.73,-0.37,-0.73,-0.37,0.37,-0.36,-0.36,-0.36
56.29,-0.70,-0.35,-0.70,-0.35,0.35,-0.36,-0.36,-0.36
56.86,-0.69,-0.33,-0.69,-0.33,0.33,-0.36,-0.36,-0.36
57.42,-0.67,-0.32,-0.67,-0.32,0.32,-0.36,-0.36,-0.36
58.00,-0.66,-0.31,-0.66,-0.31,0.31,-0.36,-0.36,-0.36
58.58,-0.65,-0.30,-0.65,-0.30,0.30,-0.36,-0.36,-0.36
59.16,-0.64,-0.29,-0.64,-0.29,0.29,-0.36,-0.36,-0.36
59.76,-0.63,-0.27,-0.63,-0.27,0.27,-0.36,-0.36,-0.36
60.35,-0.61,-0.25,-0.61,-0.25,0.25,-0.36,-0.36,-0.36
60.96,-0.58,-0.23,-0.58,-0.23,0.23,-0.36,-0.36,-0.36
61.57,-0.55,-0.20,-0.55,-0.20,0.20,-0.36,-0.36,-0.36
62.18,-0.52,-0.16,-0.52,-0.16,0.16,-0.36,-0.36,-0.36
62.80,-0.48,-0.13,-0.48,-0.13,0.13,-0.36,-0.36,-0.36
63.43,-0.45,-0.10,-0.45,-0.10,0.10,-0.36,-0.36,-0.36
64.07,-0.43,-0.07,-0.43,-0.07,0.07,-0.36,-0.36,-0.36
64.71,-0.41,-0.05,-0.41,-0.05,0.05,-0.36,-0.36,-0.36
65.35,-0.39,-0.04,-0.39,-0.04,0.04,-0.36,-0.36,-0.36
66.01,-0.38,-0.03,-0.38,-0.03,0.03,-0.36,-0.36,-0.36
66.67,-0.37,-0.02,-0.37,-0.02,0.02,-0.36,-0.36,-0.36
67.33,-0.36,-0.01,-0.36,-0.01,0.01,-0.36,-0.36,-0.36
68.01,-0.35,0.01,-0.35,0.01,-0.01,-0.36,-0.36,-0.36
68.69,-0.33,0.03,-0.33,0.03,-0.03,-0.36,-0.36,-0.36
69.37,-0.30,0.05,-0.30,0.05,-0.05,-0.36,-0.36,-0.36
70.07,-0.27,0.08,-0.27,0.08,-0.08,-0.36,-0.36,-0.36
70.77,-0.24,0.11,-0.24,0.11,-0.11,-0.36,-0.36,-0.36
71.48,-0.22,0.14,-0.22,0.14,-0.14,-0.36,-0.36,-0.36
72.19,-0.20,0.15,-0.20,0.15,-0.15,-0.36,-0.36,-0.36
72.91,-0.19,0.16,-0.19,0.16,-0.16,-0.36,-0.36,-0.36
73.64,-0.19,0.17,-0.19,0.17,-0.17,-0.36,-0.36,-0.36
74.38,-0.18,0.17,-0.18,0.17,-0.17,-0.36,-0.36,-0.36
75.12,-0.17,0.19,-0.17,0.19,-0.19,-0.36,-0.36,-0.36
75.87,-0.15,0.21,-0.15,0.21,-0.21,-0.36,-0.36,-0.36
76.63,-0.13,0.23,-0.13,0.23,-0.23,-0.36,-0.36,-0.36
77.40,-0.10,0.26,-0.10,0.26,-0.26,-0.36,-0.36,-0.36
78.17,-0.08,0.28,-0.08,0.28,-0.28,-0.36,-0.36,-0.36
78.95,-0.07,0.29,-0.07,0.29,-0.29,-0.36,-0.36,-0.36
79.74,-0.06,0.30,-0.06,0.30,-0.30,-0.36,-0.36,-0.36
80.54,-0.06,0.30,-0.06,0.30,-0.30,-0.36,-0.36,-0.36
81.35,-0.05,0.31,-0.05,0.31,-0.31,-0.36,-0.36,-0.36
82.16,-0.04,0.32,-0.04,0.32,-0.32,-0.36,-0.36,-0.36
82.98,-0.01,0.34,-0.01,0.34,-0.34,-0.36,-0.36,-0.36
83.81,0.01,0.36,0.01,0.36,-0.36,-0.36,-0.36,-0.36
84.65,0.02,0.38,0.02,0.38,-0.38,-0.36,-0.36,-0.36
85.50,0.03,0.39,0.03,0.39,-0.39,-0.36,-0.36,-0.36
86.35,0.03,0.39,0.03,0.39,-0.39,-0.36,-0.36,-0.36
87.22,0.03,0.39,0.03,0.39,-0.39,-0.36,-0.36,-0.36
88.09,0.05,0.40,0.05,0.40,-0.40,-0.36,-0.36,-0.36
88.97,0.06,0.42,0.06,0.42,-0.42,-0.36,-0.36,-0.36
89.86,0.08,0.44,0.08,0.44,-0.44,-0.36,-0.36,-0.36
90.76,0.09,0.45,0.09,0.45,-0.45,-0.36,-0.36,-0.36
91.66,0.09,0.45,0.09,0.45,-0.45,-0.36,-0.36,-0.36
92.58,0.09,0.45,0.09,0.45,-0.45,-0.36,-0.36,-0.36
93.51,0.10,0.46,0.10,0.46,-0.46,-0.36,-0.36,-0.36
94.44,0.12,0.47,0.12,0.47,-0.47,-0.36,-0.36,-0.36
95.39,0.13,0.49,0.13,0.49,-0.49,-0.36,-0.36,-0.36
96.34,0.14,0.49,0.14,0.49,-0.49,-0.36,-0.36,-0.36
97.30,0.14,0.49,0.14,0.49,-0.49,-0.36,-0.36,-0.36
98.28,0.14,0.49,0.14,0.49,-0.49,-0.36,-0.36,-0.36
99.26,0.15,0.50,0.15,0.50,-0.50,-0.36,-0.36,-0.36
100.25,0.16,0.52,0.16,0.52,-0.52,-0.36,-0.36,-0.36
101.25,0.17,0.53,0.17,0.53,-0.53,-0.36,-0.36,-0.36
102.27,0.17,0.53,0.17,0.53,-0.53,-0.36,-0.36,-0.36
103.29,0.17,0.53,0.17,0.53,-0.53,-0.36,-0.36,-0.36
104.32,0.18,0.54,0.18,0.54,-0.54,-0.36,-0.36,-0.36
105.37,0.19,0.55,0.19,0.55,-0.55,-0.36,-0.36,-0.36
106.42,0.20,0.55,0.20,0.55,-0.55,-0.36,-0.36,-0.36
107.48,0.19,0.55,0.19,0.55,-0.55,-0.36,-0.36,-0.36
108.56,0.20,0.55,0.20,0.55,-0.55,-0.36,-0.36,-0.36
109.64,0.21,0.56,0.21,0.56,-0.56,-0.36,-0.36,-0.36
110.74,0.22,0.57,0.22,0.57,-0.57,-0.36,-0.36,-0.36
111.85,0.21,0.57,0.21,0.57,-0.57,-0.36,-0.36,-0.36
112.97,0.21,0.57,0.21,0.57,-0.57,-0.36,-0.36,-0.36
114.10,0.22,0.58,0.22,0.58,-0.58,-0.36,-0.36,-0.36
115.24,0.23,0.58,0.23,0.58,-0.58,-0.36,-0.36,-0.36
116.39,0.22,0.58,0.22,0.58,-0.58,-0.36,-0.36,-0.36
117.55,0.23,0.58,0.23,0.58,-0.58,-0.36,-0.36,-0.36
118.73,0.24,0.59,0.24,0.59,-0.59,-0.36,-0.36,-0.36
119.92,0.24,0.59,0.24,0.59,-0.59,-0.36,-0.36,-0.36
121.12,0.23,0.59,0.23,0.59,-0.59,-0.36,-0.36,-0.36
122.33,0.24,0.60,0.24,0.60,-0.60,-0.36,-0.36,-0.36
123.55,0.25,0.60,0.25,0.60,-0.60,-0.36,-0.36,-0.36
124.79,0.24,0.60,0.24,0.60,-0.60,-0.36,-0.36,-0.36
126.03,0.24,0.60,0.24,0.60,-0.60,-0.36,-0.36,-0.36
127.29,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
128.57,0.25,0.60,0.25,0.60,-0.60,-0.36,-0.36,-0.36
129.85,0.25,0.60,0.25,0.60,-0.60,-0.36,-0.36,-0.36
131.15,0.26,0.61,0.26,0.61,-0.61,-0.36,-0.36,-0.36
132.46,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
133.79,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
135.12,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
136.48,0.26,0.61,0.26,0.61,-0.61,-0.36,-0.36,-0.36
137.84,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
139.22,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
140.61,0.26,0.61,0.26,0.61,-0.61,-0.36,-0.36,-0.36
142.02,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
143.44,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
144.87,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
146.32,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
147.78,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
149.26,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
150.75,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
152.26,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
153.78,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
155.32,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
156.88,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
158.44,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
160.03,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
161.63,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
163.24,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
164.88,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
166.53,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
168.19,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
169.87,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
171.57,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
173.29,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
175.02,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
176.77,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
178.54,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
180.32,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
182.13,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
183.95,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
185.79,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
187.65,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
189.52,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
191.42,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
193.33,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
195.27,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
197.22,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
199.19,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
201.18,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
203.19,0.27,0.63,0.27,0.63,-0.63,-0.36,-0.36,-0.36
205.23,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
207.28,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
209.35,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
211.44,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
213.56,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
215.69,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
217.85,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
220.03,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
222.23,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
224.45,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
226.70,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
228.96,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
231.25,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
233.57,0.27,0.62,0.27,0.62,-0.62,-0.36,-0.36,-0.36
235.90,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
238.26,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
240.64,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
243.05,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
245.48,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
247.93,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
250.41,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
252.92,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
255.45,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
258.00,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
260.58,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
263.19,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
265.82,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
268.48,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
271.16,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
273.87,0.26,0.61,0.26,0.61,-0.61,-0.36,-0.36,-0.36
276.61,0.26,0.62,0.26,0.62,-0.62,-0.36,-0.36,-0.36
279.38,0.26,0.61,0.26,0.61,-0.61,-0.36,-0.36,-0.36
282.17,0.26,0.61,0.26,0.61,-0.61,-0.36,-0.36,-0.36
284.99,0.26,0.61,0.26,0.61,-0.61,-0.36,-0.36,-0.36
287.84,0.26,0.61,0.26,0.61,-0.61,-0.36,-0.36,-0.36
290.72,0.26,0.61,0.26,0.61,-0.61,-0.36,-0.36,-0.36
293.63,0.26,0.61,0.26,0.61,-0.61,-0.36,-0.36,-0.36
296.57,0.26,0.61,0.26,0.61,-0.61,-0.36,-0.36,-0.36
299.53,0.26,0.61,0.26,0.61,-0.61,-0.36,-0.36,-0.36
302.53,0.26,0.61,0.26,0.61,-0.61,-0.36,-0.36,-0.36
305.55,0.26,0.61,0.26,0.61,-0.61,-0.36,-0.36,-0.36
308.61,0.26,0.61,0.26,0.61,-0.61,-0.36,-0.36,-0.36
311.69,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
314.81,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
317.96,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
321.14,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
324.35,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
327.59,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
330.87,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
334.18,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
337.52,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
340.90,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
344.30,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
347.75,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
351.23,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
354.74,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
358.28,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
361.87,0.25,0.60,0.25,0.60,-0.60,-0.36,-0.36,-0.36
365.49,0.25,0.61,0.25,0.61,-0.61,-0.36,-0.36,-0.36
369.14,0.25,0.60,0.25,0.60,-0.60,-0.36,-0.36,-0.36
372.83,0.25,0.60,0.25,0.60,-0.60,-0.36,-0.36,-0.36
376.56,0.25,0.60,0.25,0.60,-0.60,-0.36,-0.36,-0.36
380.33,0.25,0.60,0.25,0.60,-0.60,-0.36,-0.36,-0.36
384.13,0.25,0.60,0.25,0.60,-0.60,-0.36,-0.36,-0.36
387.97,0.25,0.60,0.25,0.60,-0.60,-0.36,-0.36,-0.36
391.85,0.25,0.60,0.25,0.60,-0.60,-0.36,-0.36,-0.36
395.77,0.25,0.60,0.25,0.60,-0.60,-0.36,-0.36,-0.36
399.73,0.25,0.60,0.25,0.60,-0.60,-0.36,-0.36,-0.36
403.72,0.24,0.60,0.24,0.60,-0.60,-0.36,-0.36,-0.36
407.76,0.24,0.60,0.24,0.60,-0.60,-0.36,-0.36,-0.36
411.84,0.24,0.60,0.24,0.60,-0.60,-0.36,-0.36,-0.36
415.96,0.24,0.60,0.24,0.60,-0.60,-0.36,-0.36,-0.36
420.12,0.24,0.60,0.24,0.60,-0.60,-0.36,-0.36,-0.36
424.32,0.24,0.60,0.24,0.60,-0.60,-0.36,-0.36,-0.36
428.56,0.24,0.60,0.24,0.60,-0.60,-0.36,-0.36,-0.36
432.85,0.24,0.60,0.24,0.60,-0.60,-0.36,-0.36,-0.36
437.18,0.24,0.60,0.24,0.60,-0.60,-0.36,-0.36,-0.36
441.55,0.24,0.60,0.24,0.60,-0.60,-0.36,-0.36,-0.36
445.96,0.24,0.60,0.24,0.60,-0.60,-0.36,-0.36,-0.36
450.42,0.24,0.59,0.24,0.59,-0.59,-0.36,-0.36,-0.36
454.93,0.24,0.59,0.24,0.59,-0.59,-0.36,-0.36,-0.36
459.48,0.24,0.59,0.24,0.59,-0.59,-0.36,-0.36,-0.36
464.07,0.24,0.59,0.24,0.59,-0.59,-0.36,-0.36,-0.36
468.71,0.24,0.59,0.24,0.59,-0.59,-0.36,-0.36,-0.36
473.40,0.24,0.59,0.24,0.59,-0.59,-0.36,-0.36,-0.36
478.13,0.23,0.59,0.23,0.59,-0.59,-0.36,-0.36,-0.36
482.91,0.23,0.59,0.23,0.59,-0.59,-0.36,-0.36,-0.36
487.74,0.23,0.59,0.23,0.59,-0.59,-0.36,-0.36,-0.36
492.62,0.23,0.59,0.23,0.59,-0.59,-0.36,-0.36,-0.36
497.55,0.23,0.59,0.23,0.59,-0.59,-0.36,-0.36,-0.36
502.52,0.23,0.59,0.23,0.59,-0.59,-0.36,-0.36,-0.36
507.55,0.23,0.59,0.23,0.59,-0.59,-0.36,-0.36,-0.36
512.62,0.23,0.59,0.23,0.59,-0.59,-0.36,-0.36,-0.36
517.75,0.23,0.58,0.23,0.58,-0.58,-0.36,-0.36,-0.36
522.93,0.23,0.58,0.23,0.58,-0.58,-0.36,-0.36,-0.36
528.16,0.23,0.58,0.23,0.58,-0.58,-0.36,-0.36,-0.36
533.44,0.23,0.58,0.23,0.58,-0.58,-0.36,-0.36,-0.36
538.77,0.22,0.58,0.22,0.58,-0.58,-0.36,-0.36,-0.36
544.16,0.22,0.58,0.22,0.58,-0.58,-0.36,-0.36,-0.36
549.60,0.22,0.58,0.22,0.58,-0.58,-0.36,-0.36,-0.36
555.10,0.22,0.58,0.22,0.58,-0.58,-0.36,-0.36,-0.36
560.65,0.22,0.58,0.22,0.58,-0.58,-0.36,-0.36,-0.36
566.25,0.22,0.57,0.22,0.57,-0.57,-0.36,-0.36,-0.36
